user,jobId,taskAmount,taskLength,taskTime,taskDiskUsage,taskRam,averageTaskCpu,taskCores,schedulingClass,jobCreationTime,jobStartTime,jobEndTime,executionAttempts,evictionAmounts
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251698434,1,796642692,2552595875,0.000007629,0.00544,0.0028037916666666662,0.006248,1,1070820421,1072279993,3624875876,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251698463,1,555307525,2142765146,0.000007629,0.002331,0.0005159699999999999,0.006248,1,1070822506,1072280005,3215045159,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251698498,1,90945137,362075327,0.000007629,0.004662,0.00076475,0.006248,1,1070824276,1072280017,1434355352,1,
nHinWYr2Nep8Mr79MMvmYCrGb0NdshyX6mlnZo/Ot+I=,6251699159,1,34257199,311714820,0.00003815,0.009323,0.0068857499999999995,0.0125,1,1094665885,1096090700,1407805528,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251699701,1,61085325,308557246,0.00001144,0.007767,0.0034998800000000004,0.009369,2,1107212523,1108892194,1417449449,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251703480,1,18142204,250483368,0.00003052,0.01244,0.0019756260000000003,0.009369,2,1133450300,1135414872,1385898249,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251703663,14,17694493,145538492.14285713,0.00003052,0.0025939999999999995,0.006210914590163932,0.009369,0,1135414877,1136305391,1384977274,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251704358,1,627045153,2462563077,0.00001144,0.004662,0.005007523076923077,0.03125,2,1146166412,1147688604,3610251690,1,
9G2ClepFSMtj7+mtnj85Rz+DFhnjl6ETDshJzpCeZjY=,6251704405,1,741679778,705485805,0.000003815,0.001987,0.0012753316666666667,0.006248,1,1146168975,1147688614,1853174428,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251704965,2,13419005,150637282.5,0.00003052,0.001972,0.002955529,0.006821,0,1171798608,1172540018,1324037036,1,
O4NRuy2mh40vBNcpOihSjmoF/VD7FoV+r9NjFTm1trs=,6251706807,31,96118684,126878264.46153846,0.000054360000000000015,0.07959000000000002,0.009409258899999997,0.125,2,1220006899,1221814985,1803119521,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251707831,1,58901168,146750297,0.00004482,0.006218,0.008663833333333334,0.0625,1,1244696764,1246127793,1392878098,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251707899,1,8512303,282651027,0.00004482,0.002796,0.00039210000000000004,0.006248,1,1396573972,1398939299,1681590334,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251711193,1,2479875,78909625,0.00001907,0.01244,0.006579333333333333,0.0625,1,1332360664,1333936198,1412845831,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251711195,1,75787777,118153144,0.00001907,0.01244,0.006940999999999999,0.0625,1,1332370263,1333936209,1452089361,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251711223,1,80913121,79828885,0.00001907,0.01244,0.006120999999999999,0.0625,1,1333143781,1334718321,1414547214,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251711225,1,44979333,80724409,0.00001907,0.01244,0.0057591000000000005,0.0625,1,1333157791,1334718332,1415442749,1,
F2+Gv53Pxd4KDRb/UsGECThH/XUOpcWKElUXJkhkt1c=,6251722455,1,33572324,24370150,,0.0001554,0.000025112333333333334,,0,1405964213,1407768478,1432138635,1,
fJYeclskJqPWsAT6TX/r9X5OiIZpSEb2PBGliYAOMxM=,6251722623,1,116150710,618154080,0.0001154,0.04773,0.0158043,0.0625,2,1420994077,1423337457,2060383996,1,
fJYeclskJqPWsAT6TX/r9X5OiIZpSEb2PBGliYAOMxM=,6251723831,1,312760315,2654918064,0.0001154,0.04773,0.014667299999999998,0.0625,2,1421009076,1423338537,4117820200,1,
